colony	idx	ncells	memoir	membow	genotypes	edits	clusters	missclassified
s13_c1_data	13	39	0.159428411	0	26	0.456410256		
s5_c3_data	87	26	0.380804954	0.294117647	20	0.438461538		
s17_c1_data	39	20	0.040191962	0.058823529	20	0.545		
s2_c1_data	47	34	0.317073171	0.125	19	0.323529412		
s9_c3_data	111	26	0.469026549	0.4	18	0.561538462		
s12_c4_data	12	20	0.457177322	0.4	18	0.535		
s16_c1_data	30	21	0.26595144	0.133333333	18	0.485714286		
s2_c6_data	54	26	0.293286219	0.285714286	17	0.411538462		
s18_c2_data	41	21	0.377828054	0.384615385	16	0.561904762		
s8_c6_data	108	29	0.492781896	0.307692308	16	0.410344828		
s14_c5_data	20	25	0.218390805	0.25	15	0.616		
s9_c4_data	112	22	0.200426439	0.166666667	15	0.263636364		
s10_c2_data	4	19	0.553286535	0.454545455	14	0.3		
s7_c1_data	96	18	0.452804378	0.454545455	14	0.622222222		
s21_c4_data	66	32	0.441730635	0.181818182	14	0.4875		
s8_c5_data	107	23	0.544994944	0.090909091	14	0.343478261		
s15_c2_data	23	19	0.175126904	0.090909091	14	0.515789474		
s15_c7_data	28	29	0.026479751	0	14	0.4		
s5_c12_data	84	27	0.661733615	0.777777778	12	0.740740741		
s9_c5_data	113	16	0.134539732	0	12	0.2875		
s9_c2_data	110	15	0.062233589	0	12	0.32		
s13_c4_data	16	19	0.36265137	0.75	11	0.505263158		
s15_c8_data	29	20	0.281006591	0.25	11	0.44		
s20_c6_data	62	12	0.190751445	0.25	11	0.541666667		
s20_c5_data	61	14	0.25093633	0.125	11	0.607142857		
s7_c5_data	100	13	0.484536082	0.714285714	10	0.592307692		
s5_c10_data	82	26	0.600709849	0.571428571	10	0.661538462		
s5_c7_data	91	31	0.459848758	0.428571429	10	0.593548387		
s18_c1_data	40	15	0.39810834	0.428571429	10	0.48		
s10_c3_data	5	20	0.399399399	0.142857143	10	0.41		
s5_c5_data	89	14	0.346405229	0.142857143	10	0.464285714		
s7_c3_data	98	27	0.282397636	0.142857143	10	0.203703704		
s14_c2_data	17	15	0.140893471	0.142857143	10	0.686666667		
s21_c3_data	65	11	0.103713188	0.142857143	10	0.381818182		
s15_c1_data	22	13	0.474789916	0.833333333	9	0.584615385		
s13_c2_data	14	18	0.455040872	0.833333333	9	0.466666667		
s2_c8_data	55	11	0.738903394	0.666666667	9	0.481818182		
s9_c1_data	109	17	0.559471366	0.5	9	0.341176471		
s3_c5_data	72	10	0.55290611	0.5	9	0.65		
s15_c4_data	25	14	0.528746466	0.166666667	9	0.564285714		
s14_c6_data	21	11	0.35483871	0.166666667	9	0.536363636		
s2_c4_data	52	10	0.238964992	0.166666667	9	0.52		
