"colony","idx","ncells","memoir","membow","genotypes","edits"
"s1_c2_data","2","4","1","1","4","0.675"
"s11_c1_data","8","6","1","1","6","0.816666666666667"
"s12_c2_data","10","4","1","1","4","0.675"
"s12_c3_data","11","4","1","1","4","0.675"
"s16_c2_data","31","6","1","1","4","0.566666666666667"
"s16_c4_data","33","9","1","1","6","0.711111111111111"
"s16_c9_data","38","4","1","1","4","0.55"
"s20_c7_data","63","3","1","1","3","0.633333333333333"
"s4_c4_data","76","5","1","1","4","0.14"
"s5_c4_data","88","9","1","1","4","0.7"
"s5_c6_data","90","3","1","1","3","0.566666666666667"
"s5_c9_data","92","6","1","1","4","0.733333333333333"
"s6_c2_data","94","3","1","1","3","0.433333333333333"
"s7_c6_data","101","4","1","1","4","0.55"
"s8_c2_data","104","6","1","1","3","0.666666666666667"
"s9_c6_data","114","3","1","1","3","0.533333333333333"
"s16_c5_data","34","10","0.850523168908819","1","5","0.69"
"s10_c4_data","6","10","0.84779299847793","1","7","0.44"
"s4_c1_data","73","8","0.786324786324786","1","3","0.525"
"s2_c10_data","48","12","0.771689497716895","1","5","0.8"
"s14_c4_data","19","7","0.727520435967302","1","4","0.514285714285714"
"s20_c4_data","60","10","0.544764795144158","1","3","0.6"
"s3_c3_data","70","10","0.544072948328267","1","6","0.38"
"s16_c3_data","32","7","0.441340782122905","1","4","0.585714285714286"
"s6_c1_data","93","8","0.325842696629214","1","5","0.7"
"s5_c2_data","86","12","0.305555555555556","1","4","0.0666666666666667"
"s15_c1_data","22","13","0.490316004077472","0.833333333333333","9","0.584615384615385"
"s13_c2_data","14","18","0.45578231292517","0.833333333333333","9","0.466666666666667"
"s19_c1_data","43","12","0.419279907084785","0.8","8","0.741666666666667"
"s5_c12_data","84","27","0.659284497444634","0.777777777777778","12","0.740740740740741"
"s5_c1_data","81","9","0.823321554770318","0.75","7","0.3"
"s16_c6_data","35","20","0.397227245328511","0.75","7","0.725"
"s13_c4_data","16","19","0.365482233502538","0.75","11","0.505263157894737"
"s7_c5_data","100","13","0.481327800829876","0.714285714285714","10","0.592307692307692"
"s10_c5_data","7","10","0.845916795069337","0.666666666666667","6","0.53"
"s4_c5_data","77","9","0.824561403508772","0.666666666666667","6","0.622222222222222"
"s2_c8_data","55","11","0.736495388669302","0.666666666666667","9","0.481818181818182"
"s3_c1_data","68","10","0.696509863429439","0.6","8","0.46"
"s20_c3_data","59","8","0.568034557235421","0.6","8","0.5625"
"s5_c10_data","82","26","0.602122015915119","0.571428571428571","10","0.661538461538462"
"s8_c1_data","103","12","0.766081871345029","0.5","5","0.833333333333333"
"s8_c4_data","106","16","0.6852871754524","0.5","7","0.63125"
"s10_c1_data","3","12","0.65034965034965","0.5","5","0.35"
"s13_c3_data","15","9","0.65034965034965","0.5","5","0.655555555555556"
"s9_c1_data","109","17","0.559794570799707","0.5","9","0.341176470588235"
"s3_c5_data","72","10","0.544764795144158","0.5","9","0.65"
"s15_c6_data","27","12","0.538638985005767","0.5","5","0.691666666666667"
"s2_c9_data","56","13","0.489795918367347","0.5","5","0.453846153846154"
"s15_c3_data","24","5","0.404761904761905","0.5","5","0.52"
"s5_c13_data","85","8","0.368421052631579","0.5","5","0.2"
"s21_c1_data","64","13","0.278350515463917","0.5","5","0.769230769230769"
"s20_c2_data","58","19","0","0.5","5","0.284210526315789"
"s10_c2_data","4","19","0.553286534779834","0.454545454545455","14","0.3"
"s7_c1_data","96","18","0.449035812672176","0.454545454545455","14","0.622222222222222"
"s5_c7_data","91","31","0.457700650759219","0.428571428571429","10","0.593548387096774"
"s18_c1_data","40","15","0.394987035436474","0.428571428571429","10","0.48"
"s2_c5_data","53","9","0.480069324090121","0.4","8","0.477777777777778"
"s9_c3_data","111","26","0.469964664310954","0.4","18","0.561538461538462"
"s12_c4_data","12","20","0.458157736303432","0.4","18","0.535"
"s19_c4_data","46","14","0.0645463049579046","0.4","8","0.535714285714286"
"s18_c2_data","41","21","0.375709421112372","0.384615384615385","16","0.561904761904762"
"s8_c3_data","105","15","0.656946826758148","0.333333333333333","6","0.466666666666667"
"s15_c5_data","26","10","0.550898203592814","0.333333333333333","6","0.51"
"s1_c1_data","1","9","0.466192170818505","0.333333333333333","6","0.655555555555556"
"s14_c3_data","18","9","0.463327370304115","0.333333333333333","6","0.611111111111111"
"s19_c2_data","44","15","0.397071490094746","0.333333333333333","6","0.673333333333333"
"s8_c6_data","108","29","0.491790461297889","0.307692307692308","16","0.410344827586207"
"s5_c3_data","87","26","0.383802816901408","0.294117647058823","20","0.438461538461538"
"s2_c6_data","54","26","0.296394019349164","0.285714285714286","17","0.411538461538462"
"s2_c2_data","50","13","0.373695198329854","0.25","7","0.607692307692308"
"s15_c8_data","29","20","0.278846153846154","0.25","11","0.44"
"s14_c5_data","20","25","0.217671421997239","0.25","15","0.616"
"s19_c3_data","45","7","0.2","0.25","7","0.4"
"s20_c6_data","62","12","0.185098952270081","0.25","11","0.541666666666667"
"s16_c7_data","36","9","0.298245614035088","0.2","8","0.644444444444444"
"s21_c5_data","67","13","0","0.2","8","0.469230769230769"
"s21_c4_data","66","32","0.441925357516568","0.181818181818182","14","0.4875"
"s15_c4_data","25","14","0.528746465598492","0.166666666666667","9","0.564285714285714"
"s14_c6_data","21","11","0.34640522875817","0.166666666666667","9","0.536363636363636"
"s2_c4_data","52","10","0.244712990936556","0.166666666666667","9","0.52"
"s9_c4_data","112","22","0.204244031830239","0.166666666666667","15","0.263636363636364"
"s10_c3_data","5","20","0.399759903961585","0.142857142857143","10","0.41"
"s5_c5_data","89","14","0.339622641509434","0.142857142857143","10","0.464285714285714"
"s7_c3_data","98","27","0.280575539568345","0.142857142857143","10","0.203703703703704"
"s14_c2_data","17","15","0.137931034482759","0.142857142857143","10","0.686666666666667"
"s21_c3_data","65","11","0.0801576872536137","0.142857142857143","10","0.381818181818182"
"s16_c1_data","30","21","0.265951439864483","0.133333333333333","18","0.485714285714286"
"s2_c1_data","47","34","0.314621409921671","0.125","19","0.323529411764706"
"s20_c5_data","61","14","0.244570349386213","0.125","11","0.607142857142857"
"s8_c5_data","107","23","0.54337899543379","0.0909090909090909","14","0.343478260869565"
"s15_c2_data","23","19","0.171974522292994","0.0909090909090909","14","0.515789473684211"
"s17_c1_data","39","20","0.0355635925256178","0.0588235294117647","20","0.545"
"s5_c11_data","83","8","0.780701754385965","0","3","0.925"
"s7_c2_data","97","9","0.471830985915493","0","4","0.611111111111111"
"s4_c3_data","75","14","0.435028248587571","0","7","0.635714285714286"
"s4_c6_data","78","15","0.310938845822567","0","4","0.78"
"s4_c10_data","74","12","0.19908466819222","0","3","0.0666666666666667"
"s13_c1_data","13","39","0.157066591739253","0","26","0.456410256410256"
"s6_c3_data","95","22","0.144385026737968","0","7","0.0363636363636364"
"s12_c1_data","9","8","0.134199134199134","0","7","0.575"
"s9_c5_data","113","16","0.129746835443038","0","12","0.2875"
"s20_c1_data","57","9","0.12280701754386","0","7","0.5"
"s9_c2_data","110","15","0.066213921901528","0","12","0.32"
"s15_c7_data","28","29","0.029126213592233","0","14","0.4"
"s4_c7_data","79","4","0","0","4","0.05"
