"Position"	"file.name"	"file.extension"	"n.cells"	"eliminate"	"generations"	"newick"
69	"s11_c1_data"	".txt"	6	""	3	"((166_1:71,(216_1:61,216_2:61):59):65,((216_3:50,216_4:50):69,(216_5:48,216_6:48):71):66);"
70	"s11_c2_data"	".txt"	4	""	3	"(100_1:44,((216_1:38,216_2:38):62,(216_3:32,216_4:32):68):58);"
71	"s12_c1_data"	".txt"	8	""	3	"(((216_1:32,216_2:32):54,(216_3:33,216_4:33):53):49,((216_5:44,216_6:44):42,(216_7:46,216_8:46):40):49);"
72	"s12_c2_data"	".txt"	4	""	3	"((144_1:53,((216_1:15,216_2:15):52,(216_3:22,216_4:22):45):56):56,(132_3:41,133_3:42):56);"
73	"s12_c3_data"	".txt"	4	""	3	"(((167_1:32,(205_1:1,205_2:1):68):56,(139_3:11,139_4:11):49):51,(((216_1:31,216_2:31):48,(216_3:30,216_4:30):49):60,144_5:69):48);"
74	"s12_c4_data"	".txt"	22	""	3	"(((((216_1:19,216_2:19):42,(216_3:20,216_4:20):41):46,((216_5:6,216_6:6):56,(216_7:17,216_8:17):45):45):52,115_3:61):52,((((216_9:12,216_10:12):51,207_10:55):59,((216_11:25,216_12:25):50,(216_13:28,216_14:28):47):47):46,(((216_15:32,216_16:32):44,(216_17:33,216_18:33):43):46,((216_19:29,216_20:29):49,(216_21:27,216_22:27):51):44):46):43);"
75	"s13_c1_data"	".txt"	46	""	3	"(((((216_1:41,216_2:41):47,(216_3:38,216_4:38):50):49,((216_5:28,216_6:28):56,(216_7:30,216_8:30):54):53):48,(((216_9:24,216_10:24):50,(216_11:21,216_12:21):53):64,((216_13:35,216_14:35):48,(216_15:30,216_16:30):53):55):47):26,(((((216_17:24,216_18:24):34,(216_19:24,216_20:24):34):38,((216_21:27,216_22:27):32,(216_23:24,216_24:24):35):37):49,(((216_25:23,216_26:23):33,(216_27:19,216_28:19):37):41,((216_29:18,216_30:18):33,(216_31:16,216_32:16):35):46):48):43,((((216_33:4,216_34:4):40,(216_35:10,216_36:10):34):47,((216_37:13,216_38:13):38,(216_39:4,216_40:4):47):40):47,((216_41:14,216_42:14):79,((216_43:17,216_44:17):34,(216_45:18,216_46:18):33):41):46):50):22);"
76	"s13_c2_data"	".txt"	24	""	3	"((((199_1:65,(216_1:39,216_2:39):42):45,((216_3:33,216_4:33):44,(216_5:34,216_6:34):43):49):44,(((216_7:37,216_8:37):44,(216_9:38,216_10:38):43):44,((216_11:35,216_12:35):45,(216_13:35,216_14:35):45):45):45):41,(((167_9:26,166_10:25):50,((216_15:19,216_16:19):53,190_17:47):52):46,(((216_17:6,216_18:6):37,(216_19:5,216_20:5):38):87,((216_21:12,216_22:12):53,(216_23:23,216_24:23):42):65):40):41);"
77	"s13_c3_data"	".txt"	12	""	3	"((((216_1:31,216_2:31):46,(216_3:25,216_4:25):52):51,((216_5:39,216_6:39):44,(216_7:34,216_8:34):49):45):43,((216_9:40,216_10:40):69,(216_11:66,216_12:66):43):63);"
78	"s13_c4_data"	".txt"	24	""	3	"((((216_12:57,216_13:57):79,(216_14:63,(216_15:11,216_16:11):51):73):45,(((216_17:4,216_18:4):69,(216_19:12,216_20:12):61):57,((216_21:12,216_22:12):63,(216_23:22,216_24:22):53):55):50):31,((((216_1:35,216_2:35):43,(216_3:24,216_4:24):54):53,((216_5:17,216_6:17):59,(216_7:21,216_8:21):55):55):45,((216_9:48,(216_10:0,216_11:0):47):61,190_8:84):68):35);"
79	"s14_c2_data"	".txt"	16	""	3	"((((216_1:14,216_2:14):44,(216_3:14,216_4:14):44):48,((216_5:18,216_6:18):44,(216_7:20,216_8:20):42):44):48,(((216_9:9,216_10:9):39,(216_11:10,216_12:10):38):50,((216_13:6,216_14:6):48,(216_15:17,216_16:17):37):44):56);"
80	"s14_c3_data"	".txt"	15	""	3	"((((192_9:50,207_14:65):53,(184_11:27,183_12:26):68):48,((202_14:59,211_14:68):52,((195_13:9,195_14:9):44,(216_14:31,216_15:31):43):50):50):37,((((216_1:18,216_2:18):44,(216_3:18,216_4:18):44):47,((216_5:22,216_6:22):38,(216_7:17,216_8:17):43):49):56,(((216_9:9,216_10:9):53,216_11:63):49,(216_12:59,216_13:59):53):54):46);"
81	"s14_c4_data"	".txt"	7	""	3	"(79_1:53,(((201_1:10,216_1:25):59,(216_2:31,216_3:31):53):47,((216_4:23,216_5:23):63,(216_6:30,216_7:30):56):45):56);"
82	"s14_c5_data"	".txt"	27	""	3	"(((111_1:42,(((216_1:17,216_2:17):41,(216_3:15,216_4:15):43):48,155_2:47):38):36,((((216_5:18,216_6:18):34,(216_7:15,216_8:15):37):46,((216_9:8,216_10:8):44,(216_11:12,216_12:12):40):46):44,(((216_13:13,206_13:3):46,(216_14:14,216_15:14):45):48,((216_16:10,216_17:10):52,(216_18:19,216_19:19):43):45):35):38):30,((147_7:65,((216_20:18,216_21:18):48,(216_22:15,216_23:15):51):66):46,(((216_24:15,216_25:15):52,(216_26:15,216_27:15):52):60,167_15:80):51):33);"
83	"s14_c6_data"	".txt"	14	""	3	"((96_1:39,96_2:39):50,((((216_1:4,216_2:4):39,216_3:44):55,(216_4:37,(216_5:1,216_6:1):35):62):56,(((216_7:8,216_8:8):36,(216_9:12,216_10:12):32):50,((216_11:2,216_12:2):41,(216_13:0,216_14:0):43):51):60):52);"
84	"s15_c1_data"	".txt"	14	""	3	"((((216_1:17,216_2:17):70,(216_3:30,216_4:30):57):56,((216_5:36,216_6:36):56,(216_7:39,216_8:39):53):51):45,(((216_9:23,216_10:23):56,(216_11:28,216_12:28):51):53,((216_13:25,216_14:25):51,195_14:56):56):56);"
85	"s15_c2_data"	".txt"	19	""	3	"((((216_1:41,216_2:41):65,(216_3:45,216_4:45):61):60,(((216_5:4,216_6:4):51,(216_7:2,216_8:2):53):54,((216_9:8,216_10:8):52,(216_11:6,216_12:6):54):49):56):41,((216_13:79,(216_14:16,216_15:16):62):78,((216_16:28,216_17:28):59,(216_18:27,216_19:27):60):69):51);"
86	"s15_c3_data"	".txt"	8	""	3	"((117_1:43,((214_1:29,213_2:28):56,190_3:62):53):46,(((216_1:49,216_2:49):45,(216_3:46,216_4:46):48):46,((216_5:25,216_6:25):64,(216_7:43,216_8:43):46):51):46);"
87	"s15_c4_data"	".txt"	15	""	3	"((((216_1:11,216_2:11):46,216_3:58):66,((216_4:9,216_5:9):48,(216_6:15,216_7:15):42):66):56,(((216_8:20,216_9:20):44,(216_10:21,216_11:21):43):58,((216_12:24,216_13:24):48,(216_14:22,216_15:22):50):50):57);"
