colony	cells	n.clusters	clusters	remove	include	reason	clones	missclassified.cells	miss2
110	6	3	"10,9_8,7_6,5"		1			0	0
112	8	4	"1,2_3,4_5,6_7"	8	1			0	0
113	23	3	"21,22,23,24,25,26,27_15,17,18_1,2,3,4,6,9,10,11,12,13,14"	"20,5"	1			2	0
117	22	5	"22,21_20,19,18,17_9,10,11,12,13,14,15,16_5,6,7,8_1,2,3,4"		1			4	
119	4	1	"1,2,3,4"		0				
120	7	3	"6,7_1,2_3,4"	5	1			0	
121	3	2	"3,4_2"		0				
123	20	4	"18,19,20,21,22,23_13,14,15,16_11,12_1,2,3,4,5,6,7,8"		1			4	
124	12	4	"1,2,3,4_5,6,7,8_9,10,11,12"		1			1	
126	8	4	"1,2_3,4,5,6_7_9"		1			0	
127	f	2	"5,6_8,9"	7	1			0	
131	16	3	"1,2,3,4,5,6,7,8_9,10,11,12_13,14,15,16"		1			2	
132	20	5	"1,2,3,4,5_6,7,8,9_11,13_14,15,16_18,19,20,21,22"	17	1			2	
139	8	4	"1,2_3,4,_5,6_7,8"		1			0	
140	12	3	"1,2,3,4_5,6,7,8_9,10,11,12"		1			1	
142	22	4	"1,2,3,4,5,6,7,8,9,10,11_13,14,16,17_18,19,20,21_22,23,24,25"		0			4	
85	18	5	"1,2,3,4_5,6,7,8_9,10,11_,12,13,14_15,16,17,18"		1			2	
87	3	2	"1,2_3"		0				
88	7	2	"1,2,3,4_5,6,7"		0	only info comes from w			
89	6	2	"1,2_3,4,5,6"		1			0	
93	10	3	"1,2,3,4_6,7_8,9,10,11"		1			1	
97	4	3	"1,2_3_4"		0				
101	23	3	"1,2,3,4,5,6,7,8_9,10,11,12,13,14,15_16,17,18,19,20,21,22,23"		1			5	
103	18	4	"1,2,3,4_5,7,8,9,11,12_13,14,16_17,18,19,20,21"		1			0	
106	19		"1,2,3,4,5_8,9,10,11,12,13_14,16,18,20,21,22"	"6,19"	1			1	
108	25	3	"1,2,3,4,5,6,7,8_9,10,11,12,13,14,15,16_17,18,19,20,21,22,23,24,26"		1			3	
