1,2,3,4,5,6,7,8,9,10
r,x,r,r,x,u,r,r,x,u
r,u,r,r,x,u,r,r,x,u
r,x,r,r,r,u,r,r,x,u
r,x,r,r,r,u,r,r,r,u
x,u,u,u,u,u,u,r,x,u
x,u,u,x,u,u,u,r,x,u
x,u,u,x,r,u,u,r,x,u
x,u,u,x,u,u,u,r,x,u
r,u,u,r,r,u,r,r,r,u
r,u,r,r,r,u,r,r,r,u
w,r,r,r,r,u,r,r,r,u
r,u,u,r,r,u,r,r,x,u
r,u,u,r,r,u,r,r,r,u
u,u,u,r,r,u,u,u,u,u
u,u,u,r,w,u,u,u,u,u
u,u,u,u,r,u,u,u,u,u
u,u,u,u,r,u,u,u,u,u
u,u,u,u,u,u,r,u,x,u
u,u,u,u,u,u,r,u,x,u
u,u,u,u,u,u,r,u,x,u
u,u,u,u,u,u,r,u,x,u
r,u,u,u,u,u,r,u,u,u
r,u,u,u,u,u,r,u,u,u
r,u,u,u,u,u,r,u,u,u
r,u,u,u,u,u,r,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
x,x,r,u,u,u,u,u,r,u
x,x,r,u,u,u,u,u,r,u
x,x,r,u,u,u,u,u,r,u
x,x,r,u,u,u,u,u,r,u
x,x,r,u,u,u,u,u,r,u
x,x,r,u,u,u,u,u,r,u
x,x,r,u,u,u,u,u,r,u
x,x,r,u,u,u,u,u,r,u
r,u,u,u,r,u,u,r,r,u
r,u,u,u,r,u,u,r,r,u
r,u,u,u,r,u,u,r,r,u
r,u,u,u,r,u,u,r,r,u
r,u,u,u,r,u,u,r,r,u
r,r,r,r,r,u,x,r,r,u
r,r,r,r,r,u,w,r,r,u
r,r,r,r,r,u,x,r,r,u
r,r,r,r,r,u,x,r,r,u
u,u,u,u,x,u,u,u,r,u
u,u,u,u,x,u,u,r,r,u
u,u,u,u,r,u,u,r,u,u
u,u,u,u,x,u,u,x,x,x
u,u,u,r,x,u,u,u,x,u
u,u,u,r,u,u,u,u,x,u
r,u,u,r,u,u,u,r,x,u
r,u,u,r,u,u,u,r,x,u
u,u,u,u,u,u,u,u,r,u
u,u,u,u,w,u,u,u,u,u
