cell	state
020101	1112111021
020102	1212211221
020103	1202111200
020104	0000000000
020105	0000000000
020106	0000000000
020107	0000000000
020108	1210111221
020109	1210111221
020110	1210111221
020111	1210111221
020112	1210111221
020113	1210111221
020114	1210111221
020115	1211011221
020116	1211011201
020117	0000000000
020118	1211111221
020119	1210111221
020120	1210111221
020121	1210111121
020122	1210111121
020123	0000000000
020124	0000000000
020125	0000000000
020126	1212111111
020127	1211111211
020128	1211111211
020129	0000000000
020130	0211111011
020131	1211111111
020132	1211111111
020133	1211111121
020134	0000000000
020135	1212111121
020136	1212111121
020137	0000000000
020138	0000000000
020139	0211211001
020140	0211211001
020141	1211111101
020142	0000000000
020143	1210212021
020144	1210212021
020145	2122210021
020146	2122110000
