Position ,FISH ID,BC1,rBC1,BC2,rBC2,BC3,rBC3,BC4,rBC4,BC5,rBC5,BC6,rBC6,Nuclear CFP,Movie ID,xBC1,xBC2,xBC3,xBC4,xBC5,xBC6,BC1,BC2,BC3,BC4,BC5,BC6,Summary,Manual,Match,Key,
16,1,0,1,0,0,1,0,0,1,0,1,0,1,1.22E+07,25,0,1,0,0,0,0,r,x,u,r,r,r,rxurrr,,,001,x
16,2,0,1,0,0,1,0,0,1,0,1,0,1,1.41E+07,26,0,1,0,0,0,0,r,x,u,r,r,r,rxurrr,,,010,r
16,3,0,0,1,0,0,1,0,0,0,1,0,1,3.70E+07,,1,0,0,1,0,0,x,u,r,x,r,r,xurxrr,,,100,u
16,4,0,0,0,0,0,0,0,1,0,1,0,1,2.92E+07,,1,1,1,0,0,0,x,x,x,r,r,r,xxxrrr,,,,
16,5,0,0,0,0,0,0,0,0,0,1,0,1,3.14E+07,,1,1,1,1,0,0,x,x,x,x,r,r,xxxxrr,,,,
16,6,0,1,0,1,0,0,0,1,0,1,0,1,2.82E+07,,0,0,1,0,0,0,r,r,x,r,r,r,rrxrrr,,,,
16,7,0,0,0,0,0,0,0,0,0,0,0,1,4.31E+07,,1,1,1,1,1,0,x,x,x,x,x,r,xxxxxr,,,,
16,8,0,0,0,0,0,0,0,0,0,0,0,1,3.18E+07,,1,1,1,1,1,0,x,x,x,x,x,r,xxxxxr,,,,
16,9,0,0,0,0,0,0,0,0,0,0,0,1,4.06E+07,,1,1,1,1,1,0,x,x,x,x,x,r,xxxxxr,,,,
16,10,0,0,0,0,0,0,0,0,0,0,0,1,3.80E+07,,1,1,1,1,1,0,x,x,x,x,x,r,xxxxxr,,,,
16,11,0,0,0,0,0,0,0,0,0,0,0,0,1.58E+07,,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
16,12,0,0,0,0,0,0,0,0,0,0,0,1,4.16E+07,,1,1,1,1,1,0,x,x,x,x,x,r,xxxxxr,,,,
16,13,0,0,0,0,0,0,0,0,0,0,0,1,5.71E+07,,1,1,1,1,1,0,x,x,x,x,x,r,xxxxxr,,,,
16,14,0,1,0,0,0,0,0,0,0,0,0,1,2.48E+07,,0,1,1,1,1,0,r,x,x,x,x,r,rxxxxr,,,,
16,15,0,0,0,0,0,0,0,0,0,0,0,0,1.42E+07,,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
16,16,0,0,0,0,0,0,0,1,0,0,0,0,8.79E+06,,1,1,1,0,1,1,x,x,x,r,x,x,xxxrxx,,,,
16,17,0,1,0,1,0,0,0,0,0,0,0,1,3.08E+07,1,0,0,1,1,1,0,r,r,x,x,x,r,rrxxxr,,,,
16,18,0,1,0,0,0,0,0,0,0,0,0,0,1.74E+07,27,0,1,1,1,1,1,r,x,x,x,x,x,rxxxxx,,,,
16,19,0,1,0,0,1,0,0,1,0,1,0,1,2.60E+07,29,0,1,0,0,0,0,r,x,u,r,r,r,rxurrr,,,,
16,20,0,1,0,0,1,0,0,1,0,1,0,1,1.69E+07,28,0,1,0,0,0,0,r,x,u,r,r,r,rxurrr,,,,
16,21,0,1,0,1,1,0,0,1,0,1,0,1,2.21E+07,22,0,0,0,0,0,0,r,r,u,r,r,r,rrurrr,,,,
16,22,0,0,0,0,1,0,0,1,0,1,0,1,2.87E+07,39,1,1,0,0,0,0,x,x,u,r,r,r,xxurrr,,,,
16,23,0,1,0,1,1,0,0,1,0,1,0,1,1.52E+07,24,0,0,0,0,0,0,r,r,u,r,r,r,rrurrr,,,,
16,24,0,0,0,0,1,0,0,1,0,1,0,1,5.21E+07,43,1,1,0,0,0,0,x,x,u,r,r,r,xxurrr,,,,
