Position ,FISH ID,BC1,rBC1,BC2,rBC2,BC3,rBC3,BC4,rBC4,BC5,rBC5,BC6,rBC6,Nuclear CFP,Movie ID,xBC1,xBC2,xBC3,xBC4,xBC5,xBC6,BC1,BC2,BC3,BC4,BC5,BC6,Summary,Manual,Match,Key,
25,1,0,0,1,0,0,0,0,0,0,0,1,0,4.73E+07,1,1,0,1,1,1,0,x,u,x,x,x,u,xuxxxu,,,001,x
25,2,0,0,1,0,0,0,0,0,0,0,0,0,3.09E+07,3,1,0,1,1,1,1,x,u,x,x,x,x,xuxxxx,,,010,r
25,3,0,0,1,0,0,0,0,0,0,0,0,0,4.83E+07,4,1,0,1,1,1,1,x,u,x,x,x,x,xuxxxx,,,100,u
25,4,0,0,0,0,0,0,0,1,0,0,0,1,2.78E+07,9,1,1,1,0,1,0,x,x,x,r,x,r,xxxrxr,,,,
25,5,0,0,0,0,0,0,0,1,0,1,0,1,2.51E+07,10,1,1,1,0,0,0,x,x,x,r,r,r,xxxrrr,,,,
25,6,0,0,0,0,0,0,1,0,0,1,0,1,4.63E+07,14,1,1,1,0,0,0,x,x,x,u,r,r,xxxurr,,,,
25,7,0,0,1,0,0,0,0,0,0,0,1,0,5.27E+07,2,1,0,1,1,1,0,x,u,x,x,x,u,xuxxxu,,,,
25,8,1,0,0,0,0,0,0,1,0,1,0,1,3.84E+07,15,0,1,1,0,0,0,u,x,x,r,r,r,uxxrrr,,,,
25,9,0,1,0,1,0,1,0,1,0,1,0,0,2.82E+07,5,0,0,0,0,0,1,r,r,r,r,r,x,rrrrrx,,,,
25,10,0,1,0,1,0,1,0,1,0,1,0,0,2.57E+07,6,0,0,0,0,0,1,r,r,r,r,r,x,rrrrrx,,,,
25,11,0,1,0,1,0,1,0,1,0,1,0,0,2.81E+07,7,0,0,0,0,0,1,r,r,r,r,r,x,rrrrrx,,,,
25,12,1,0,0,0,0,0,0,1,0,1,0,1,4.49E+07,16,0,1,1,0,0,0,u,x,x,r,r,r,uxxrrr,,,,
25,13,0,1,0,0,0,0,0,1,0,1,0,1,2.95E+07,12,0,1,1,0,0,0,r,x,x,r,r,r,rxxrrr,,,,
25,14,0,1,0,0,0,0,0,1,0,1,0,1,3.66E+07,11,0,1,1,0,0,0,r,x,x,r,r,r,rxxrrr,,,,
25,15,0,0,0,0,0,0,1,0,0,1,0,1,2.91E+07,13,1,1,1,0,0,0,x,x,x,u,r,r,xxxurr,,,,
25,16,0,1,0,1,0,1,0,1,0,1,0,0,2.69E+07,8,0,0,0,0,0,1,r,r,r,r,r,x,rrrrrx,,,,
25,17,0,0,0,0,0,0,0,0,0,0,0,0,8.56E+06,,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
25,18,0,1,0,1,0,1,0,1,0,1,0,0,9.59E+06,,0,0,0,0,0,1,r,r,r,r,r,x,rrrrrx,,,,
25,19,0,0,1,0,0,0,0,1,0,0,0,0,6.55E+06,,1,0,1,0,1,1,x,u,x,r,x,x,xuxrxx,,,,
25,20,0,0,0,0,0,0,0,1,0,0,1,0,6.43E+06,,1,1,1,0,1,0,x,x,x,r,x,u,xxxrxu,,,,
25,21,0,0,0,0,0,0,0,0,0,0,0,0,8.72E+06,,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
25,22,1,0,1,0,1,0,0,0,0,0,0,0,1.45E+07,,0,0,0,1,1,1,u,u,u,x,x,x,uuuxxx,,,,
25,23,0,1,0,0,1,0,0,1,0,0,0,0,9.35E+06,,0,1,0,0,1,1,r,x,u,r,x,x,rxurxx,,,,
25,24,0,0,0,0,1,0,0,0,0,0,0,0,1.40E+07,,1,1,0,1,1,1,x,x,u,x,x,x,xxuxxx,,,,
25,25,1,0,1,0,1,0,1,0,1,0,0,0,2.29E+07,,0,0,0,0,0,1,u,u,u,u,u,x,uuuuux,,,,
25,26,1,0,1,0,0,0,1,0,0,0,0,0,1.57E+07,,0,0,1,0,1,1,u,u,x,u,x,x,uuxuxx,,,,
25,27,1,0,1,0,1,0,1,0,0,0,0,0,1.36E+07,,0,0,0,0,1,1,u,u,u,u,x,x,uuuuxx,,,,
25,28,0,1,0,1,1,0,1,0,0,1,0,1,1.23E+07,,0,0,0,0,0,0,r,r,u,u,r,r,rruurr,,,,
25,29,0,1,0,1,0,0,0,0,0,0,0,1,7.42E+06,,0,0,1,1,1,0,r,r,x,x,x,r,rrxxxr,,,,
25,30,1,0,1,0,0,0,0,0,0,0,0,0,2.44E+07,,0,0,1,1,1,1,u,u,x,x,x,x,uuxxxx,,,,
25,31,1,0,1,0,1,0,1,0,1,0,0,0,1.50E+07,,0,0,0,0,0,1,u,u,u,u,u,x,uuuuux,,,,
25,32,1,0,1,0,1,0,1,0,1,0,1,0,1.51E+07,,0,0,0,0,0,0,u,u,u,u,u,u,uuuuuu,,,,
25,33,1,0,1,0,0,0,0,0,0,0,0,0,1.75E+07,,0,0,1,1,1,1,u,u,x,x,x,x,uuxxxx,,,,
