Movie ID,Summary,SP 1,SP 2,SP 3,SP 4,SP 5,SP 6
1,xrurrr,x,r,u,r,r,r
2,xrrrrr,x,r,r,r,r,r
3,xxxxxx,x,x,x,x,x,x
4,xrurrr,x,r,u,r,r,r
5,xrurrr,x,r,u,r,r,r
6,xrurrr,x,r,u,r,r,r
7,rrrxxr,r,r,r,x,x,r
8,rrrxxr,r,r,r,x,x,r
9,rruxxr,r,r,u,x,x,r
10,rruxxr,r,r,u,x,x,r
11,uxxxxx,u,x,x,x,x,x
12,uxxxxx,u,x,x,x,x,x
13,uxxxxx,u,x,x,x,x,x
14,uxxxxx,u,x,x,x,x,x
15,uxxxxx,u,x,x,x,x,x
16,uxxxxx,u,x,x,x,x,x
17,uxxxxx,u,x,x,x,x,x
18,uxxxxx,u,x,x,x,x,x
19,xxxxxx,x,x,x,x,x,x
20,xxxxxx,x,x,x,x,x,x
21,xxxxxx,x,x,x,x,x,x
22,xxxxxx,x,x,x,x,x,x
23,rruuxr,r,r,u,u,x,r
24,rruuxr,r,r,u,u,x,r
25,rrxxxr,r,r,x,x,x,r
26,rrxxxr,r,r,x,x,x,r
27,xxxxxx,x,x,x,x,x,x
28,xxxxxx,x,x,x,x,x,x
29,xxxxxx,x,x,x,x,x,x
30,xxxxxx,x,x,x,x,x,x
31,xrurrr,x,r,u,r,r,r
32,xrurrr,x,r,u,r,r,r
