Position ,FISH ID,BC1,rBC1,BC2,rBC2,BC3,rBC3,BC4,rBC4,BC5,rBC5,BC6,rBC6,Nuclear CFP,Movie ID,xBC1,xBC2,xBC3,xBC4,xBC5,xBC6,BC1,BC2,BC3,BC4,BC5,BC6,Summary,Manual,Match,Key,
6,1,0,0,0,1,1,0,0,1,0,0,0,0,2.28E+07,7,1,0,0,0,1,1,x,r,u,r,x,x,xrurxx,xrurxx,1,001,x
6,2,0,0,0,1,1,0,0,1,0,0,0,0,2.32E+07,8,1,0,0,0,1,1,x,r,u,r,x,x,xrurxx,xrRrxx,0,010,r
6,3,0,0,0,1,1,0,0,1,0,0,0,0,1.68E+07,4,1,0,0,0,1,1,x,r,u,r,x,x,xrurxx,xrurxx,1,100,u
6,4,0,0,0,0,0,0,0,0,1,0,0,0,1.39E+07,1,1,1,1,1,0,1,x,x,x,x,u,x,xxxxux,xxxxxx,0,,
6,5,0,0,0,1,1,0,0,1,0,0,0,1,1.31E+07,2,1,0,0,0,1,0,x,r,u,r,x,r,xrurxr,xrurxr,1,,
6,6,0,0,0,0,0,0,0,0,0,0,0,0,1.52E+07,16,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,xxxxxx,1,,
6,7,0,0,0,1,1,0,0,1,0,0,0,1,1.50E+07,3,1,0,0,0,1,0,x,r,u,r,x,r,xrurxr,xrurxr,1,,
6,8,0,0,0,1,0,0,0,1,0,0,0,1,1.92E+07,13,1,0,1,0,1,0,x,r,x,r,x,r,xrxrxr,xrurxr,0,,
6,9,0,1,0,1,1,0,0,0,0,1,0,1,2.33E+07,5,0,0,0,1,0,0,r,r,u,x,r,r,rruxrr,rruxrr,1,,
6,10,0,0,0,1,0,0,0,1,0,0,0,0,3.60E+07,15,1,0,1,0,1,1,x,r,x,r,x,x,xrxrxx,xrxrxx,1,,
6,11,0,0,0,1,0,0,0,1,0,0,0,0,1.98E+07,9,1,0,1,0,1,1,x,r,x,r,x,x,xrxrxx,xrxrxx,1,,
6,12,0,0,0,1,0,0,0,1,0,0,0,0,2.07E+07,10,1,0,1,0,1,1,x,r,x,r,x,x,xrxrxx,xrxrxx,1,,
6,13,0,0,0,1,0,0,0,1,0,0,0,0,1.84E+07,12,1,0,1,0,1,1,x,r,x,r,x,x,xrxrxx,xrRrxx,0,,
6,14,0,0,0,1,1,0,0,1,0,0,0,0,1.52E+07,11,1,0,0,0,1,1,x,r,u,r,x,x,xrurxx,xrurxx,1,,
6,15,0,0,0,1,0,0,0,0,0,0,0,1,3.65E+07,14,1,0,1,1,1,0,x,r,x,x,x,r,xrxxxr,xrrxxr,0,,
6,16,0,1,0,1,1,0,0,0,0,1,0,1,2.17E+07,6,0,0,0,1,0,0,r,r,u,x,r,r,rruxrr,rruxrr,1,,
6,17,0,0,0,1,0,1,0,0,0,0,0,1,2.87E+07,18,1,0,0,1,1,0,x,r,r,x,x,r,xrrxxr,xrrxxr,1,,
6,18,0,0,0,1,1,0,0,1,0,0,0,1,1.50E+07,17,1,0,0,0,1,0,x,r,u,r,x,r,xrurxr,xrurxr,1,,
